"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV1",0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.960507704335622,0.999813670638958,0.999813670638958,0.960507704335622,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958,0.999813670638958
"ASV2",0.999539650339401,0.999539650339401,0.999539650339401,0.999539650339401,0.396480096207117,0.999539650339401,0.999539650339401,0.999539650339401,0.974205357242553,0.974205357242553,0.974205357242553,0.999539650339401,0.974205357242553,0.974205357242553,0.999539650339401,0.974205357242553,0.999539650339401,0.974205357242553
"ASV3",0.999137001439692,0.999137001439692,0.869015849056698,0.999137001439692,0.999137001439692,0.999137001439692,0.999137001439692,0.0366266787641721,0.0366266787641721,0.0366266787641721,0.869015849056698,0.999137001439692,0.999137001439692,0.999137001439692,0.999137001439692,0.999137001439692,0.999137001439692,0.999137001439692
"ASV4",0.995636299737827,0.995636299737827,0.160090821028474,0.160090821028474,0.868327890526176,0.868327890526176,0.160090821028474,0.160090821028474,0.868327890526176,0.995636299737827,0.868327890526176,0.160090821028474,0.160090821028474,0.995636299737827,0.868327890526176,0.160090821028474,0.995636299737827,0.160090821028474
"ASV5",0.718063389504647,0.285815204535231,0.718063389504647,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.718063389504647,0.285815204535231,0.285815204535231,0.285815204535231,0.285815204535231,0.718063389504647,0.285815204535231
"ASV6",0.990133081547156,0.990133081547156,0.0404420965099255,0.0404420965099255,0.0404420965099255,0.0404420965099255,0.672832726838668,0.0404420965099255,0.0404420965099255,0.0404420965099255,0.0404420965099255,0.990133081547156,0.0404420965099255,0.0404420965099255,0.672832726838668,0.0404420965099255,0.0404420965099255,0.0404420965099255
"ASV7",0.733403556413412,0.989840314234718,0.0720781850910632,0.0720781850910632,0.0720781850910632,0.989840314234718,0.0720781850910632,0.0720781850910632,0.0720781850910632,0.733403556413412,0.0720781850910632,0.733403556413412,0.0720781850910632,0.0720781850910632,0.0720781850910632,0.0720781850910632,0.989840314234718,0.0720781850910632
"ASV8",0.995662017892546,0.995662017892546,0.0492640188009616,0.77521187233923,0.0492640188009616,0.0492640188009616,0.995662017892546,0.0492640188009616,0.0492640188009616,0.0492640188009616,0.0492640188009616,0.995662017892546,0.0492640188009616,0.0492640188009616,0.77521187233923,0.995662017892546,0.995662017892546,0.77521187233923
"ASV9",0.783364218142904,0.98582424782811,0.15826628790165,0.15826628790165,0.15826628790165,0.15826628790165,0.15826628790165,0.15826628790165,0.783364218142904,0.15826628790165,0.15826628790165,0.15826628790165,0.783364218142904,0.783364218142904,0.15826628790165,0.15826628790165,0.98582424782811,0.15826628790165
"ASV10",0.25454629152317,0.25454629152317,0.686936037356764,0.25454629152317,0.25454629152317,0.25454629152317,0.25454629152317,0.25454629152317,0.25454629152317,0.686936037356764,0.25454629152317,0.25454629152317,0.25454629152317,0.25454629152317,0.686936037356764,0.25454629152317,0.25454629152317,0.25454629152317
"ASV11",0.794994240819447,0.365974051442086,0.365974051442086,0.365974051442086,0.794994240819447,0.365974051442086,0.794994240819447,0.794994240819447,0.365974051442086,0.365974051442086,0.794994240819447,0.794994240819447,0.365974051442086,0.365974051442086,0.365974051442086,0.365974051442086,0.365974051442086,0.365974051442086
"ASV12",0.733173319544175,0.733173319544175,0.104819575107059,0.104819575107059,0.104819575107059,0.984728090333273,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.104819575107059,0.984728090333273,0.104819575107059,0.733173319544175
"ASV13",0.129021884393833,0.129021884393833,0.797864656383081,0.129021884393833,0.797864656383081,0.990581700471749,0.129021884393833,0.129021884393833,0.129021884393833,0.990581700471749,0.129021884393833,0.990581700471749,0.129021884393833,0.129021884393833,0.129021884393833,0.797864656383081,0.129021884393833,0.797864656383081
"ASV14",0.989934136688269,0.989934136688269,0.0764569775835454,0.0764569775835454,0.0764569775835454,0.0764569775835454,0.989934136688269,0.0764569775835454,0.0764569775835454,0.0764569775835454,0.0764569775835454,0.740486696015415,0.0764569775835454,0.740486696015415,0.0764569775835454,0.0764569775835454,0.0764569775835454,0.740486696015415
"ASV15",0.995486048112178,0.995486048112178,0.865156359566495,0.157298257420162,0.157298257420162,0.865156359566495,0.157298257420162,0.157298257420162,0.157298257420162,0.157298257420162,0.995486048112178,0.157298257420162,0.865156359566495,0.157298257420162,0.865156359566495,0.995486048112178,0.995486048112178,0.865156359566495
"ASV16",0.66851467182674,0.66851467182674,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274,0.225401531170274
"ASV17",0.238580155236291,0.673598821710115,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.673598821710115,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291,0.238580155236291
"ASV18",0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.22590376692675,0.685275585321742,0.22590376692675,0.22590376692675
"ASV19",0.682413482045186,0.252288506938975,0.252288506938975,0.252288506938975,0.682413482045186,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.252288506938975,0.682413482045186
