LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl
Allosmerus elongatus,12,both eDNA/trawl,only trawl,only trawl,0,0.028,1
Allosmerus elongatus,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Alosa sapidissima,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.194,1
Alosa sapidissima,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Ammodytes hexapterus,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Ammodytes hexapterus,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.0017145740494818,1
Ammodytes hexapterus,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.00937605188240878,1
Ammodytes hexapterus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Ammodytes hexapterus,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Ammodytes hexapterus,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplarchus insignis/purpurescens,12,only eDNA,only eDNA,only eDNA,1,0,0
Anoplarchus insignis/purpurescens,13,only eDNA,only eDNA,only eDNA,1,0,0
Anoplopoma fimbria,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.528,1
Anoplopoma fimbria,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.732,1
Anoplopoma fimbria,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Artedius harringtoni,15,only eDNA,only eDNA,only eDNA,1,0,0
Artedius lateralis,5,only eDNA,only eDNA,only eDNA,1,0,0
Ascelichthys rhodorus,16,only eDNA,only eDNA,only eDNA,1,0,0
Atheresthes stomias,16,only eDNA,only eDNA,only eDNA,1,0,0
Atheresthes stomias,5,only eDNA,only eDNA,only eDNA,1,0,0
Atheresthes stomias,6,only eDNA,only eDNA,only eDNA,1,0,0
Beringraja binoculata,14,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,1,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,14,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,15,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,16,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,2,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,3,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,5,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,6,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys sordidus,9,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,1,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,12,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,13,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,3,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,4,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,7,only eDNA,only eDNA,only eDNA,1,0,0
Clinocottus acuticeps,14,only eDNA,only eDNA,only eDNA,1,0,0
Clupea pallasii,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.028,1
Clupea pallasii,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.682,1
Clupea pallasii,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.698,1
Clupea pallasii,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.901,1
Clupea pallasii,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.798,1
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.899,1
Clupea pallasii,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
