LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl
Allosmerus elongatus,12,only trawl,only trawl,only trawl,0,0.028,1
Alosa sapidissima,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Alosa sapidissima,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.194,1
Alosa sapidissima,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Ammodytes hexapterus,12,only trawl,only trawl,only trawl,0,0.0017145740494818,1
Ammodytes hexapterus,13,only trawl,only trawl,only trawl,0,0.00937605188240878,1
Anoplopoma fimbria,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.528,1
Anoplopoma fimbria,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Anoplopoma fimbria,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.732,1
Anoplopoma fimbria,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Beringraja binoculata,14,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,12,only eDNA,only eDNA,only eDNA,1,0,0
Citharichthys stigmaeus,13,only eDNA,only eDNA,only eDNA,1,0,0
Clupea pallasii,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.028,1
Clupea pallasii,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.682,1
Clupea pallasii,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.698,1
Clupea pallasii,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,2.901,1
Clupea pallasii,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.798,1
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.899,1
Clupea pallasii,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Clupea pallasii,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.0283532522025059,1
Clupea pallasii,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.89,1
Clupea pallasii,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.182,1
Clupea pallasii,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.0228638100969311,1
Clupea pallasii,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.036,1
Clupea pallasii,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Clupea pallasii,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.273,1
Clupea pallasii,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.488,1
Cryptacanthodes giganteus,12,only eDNA,only eDNA,only eDNA,1,0,0
Diaphus theta,11,only trawl,only trawl,only trawl,0,0.028,1
Diaphus theta,13,only trawl,only trawl,only trawl,0,0.036,1
Diaphus theta,2,only trawl,only trawl,only trawl,0,0,1
Diaphus theta,9,only trawl,only trawl,only trawl,0,0,1
Engraulis mordax,12,only trawl,only trawl,only trawl,0,0.06,1
Engraulis mordax,14,only trawl,only trawl,only trawl,0,0.028,1
Engraulis mordax,15,only trawl,only trawl,only trawl,0,0.034,1
Entosphenus tridentatus,10,only trawl,only trawl,only trawl,0,0.058,1
Eopsetta jordani,16,only eDNA,only eDNA,only eDNA,1,0,0
Gadus chalcogrammus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1
Gadus chalcogrammus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.472,1
Gadus chalcogrammus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,10.31,1
Gadus chalcogrammus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,45.371,1
Gadus chalcogrammus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
