LCT,gamma_detection_method,n
Allosmerus elongatus,both eDNA/trawl,2
Alosa sapidissima,both eDNA/trawl,6
Ammodytes hexapterus,both eDNA/trawl,6
Anoplarchus insignis/purpurescens,only eDNA,2
Anoplopoma fimbria,both eDNA/trawl,12
Artedius harringtoni,only eDNA,1
Artedius lateralis,only eDNA,1
Ascelichthys rhodorus,only eDNA,1
Atheresthes stomias,only eDNA,3
Beringraja binoculata,only eDNA,1
Citharichthys sordidus,only eDNA,9
Citharichthys stigmaeus,only eDNA,6
Clinocottus acuticeps,only eDNA,1
Clupea pallasii,both eDNA/trawl,15
Cryptacanthodes giganteus,only eDNA,1
Cymatogaster aggregata,only eDNA,5
Diaphus theta,both eDNA/trawl,5
Embiotoca lateralis,only eDNA,4
Engraulis mordax,both eDNA/trawl,5
Entosphenus tridentatus,only trawl,1
Eopsetta jordani,only eDNA,3
Gadus chalcogrammus,both eDNA/trawl,16
Gadus macrocephalus,only eDNA,14
Glyptocephalus zachirus,only eDNA,12
Gobiesox maeandricus,only eDNA,2
Hexagrammos decagrammus,only eDNA,6
Hippoglossoides elassodon,only eDNA,1
Hippoglossus stenolepis,only eDNA,5
Hydrolagus colliei,only eDNA,2
Icelinus borealis,only eDNA,1
Lepidopsetta bilineata/polyxystra,only eDNA,1
Leptoclinus maculatus,only eDNA,1
Liparidae1,only eDNA,1
Liparis dennyi/fucensis,only eDNA,2
Liparis fucensis,only eDNA,1
Liparis mucosus,only eDNA,2
Lycodapus mandibularis,only eDNA,2
Lyopsetta exilis,only eDNA,2
Mallotus villosus,both eDNA/trawl,2
Merluccius productus,both eDNA/trawl,16
Microstomus pacificus,only eDNA,7
Odontopyxis trispinosa,only eDNA,1
Oligocottus maculosus/snyderi,only eDNA,2
Oncorhynchus gorbuscha,both eDNA/trawl,14
Oncorhynchus keta,both eDNA/trawl,14
Oncorhynchus kisutch,both eDNA/trawl,10
Oncorhynchus mykiss,only eDNA,1
Oncorhynchus nerka,both eDNA/trawl,14
Oncorhynchus tshawytscha,both eDNA/trawl,14
Ophiodon elongatus,only eDNA,1
Parophrys vetulus,only trawl,1
Pholis laeta,only eDNA,10
Pholis laeta/ornata,only eDNA,2
Phytichthys chirus,only eDNA,6
Pleuronectidae1,only eDNA,1
Reinhardtius hippoglossoides,only trawl,1
Salvelinus malma,only eDNA,3
Sebastes,both eDNA/trawl,15
Sebastolobus macrochir,only eDNA,1
Spirinchus starksi,only trawl,1
Squalus suckleyi,both eDNA/trawl,16
Thaleichthys pacificus,both eDNA/trawl,15
Xiphister atropurpureus/mucosus,only eDNA,5
Zoarcidae,only trawl,1
