LCT,gamma_detection_method,n
Allosmerus elongatus,only trawl,1
Alosa sapidissima,both eDNA/trawl,4
Ammodytes hexapterus,only trawl,2
Anoplopoma fimbria,both eDNA/trawl,7
Beringraja binoculata,only eDNA,1
Citharichthys stigmaeus,only eDNA,2
Clupea pallasii,both eDNA/trawl,15
Cryptacanthodes giganteus,only eDNA,1
Diaphus theta,only trawl,4
Engraulis mordax,only trawl,3
Entosphenus tridentatus,only trawl,1
Eopsetta jordani,only eDNA,1
Gadus chalcogrammus,both eDNA/trawl,14
Glyptocephalus zachirus,only eDNA,5
Hexagrammos decagrammus,only eDNA,1
Hippoglossoides elassodon,only eDNA,1
Leptoclinus maculatus,only eDNA,1
Mallotus villosus,only trawl,1
Merluccius productus,both eDNA/trawl,14
Microstomus pacificus,only eDNA,1
Oncorhynchus gorbuscha,both eDNA/trawl,5
Oncorhynchus keta,both eDNA/trawl,4
Oncorhynchus kisutch,both eDNA/trawl,6
Oncorhynchus nerka,both eDNA/trawl,10
Oncorhynchus tshawytscha,both eDNA/trawl,8
Parophrys vetulus,only trawl,1
Pholis laeta,only eDNA,1
Phytichthys chirus,only eDNA,3
Reinhardtius hippoglossoides,both eDNA/trawl,2
Sebastes,both eDNA/trawl,10
Spirinchus starksi,only trawl,1
Squalus suckleyi,both eDNA/trawl,14
Thaleichthys pacificus,both eDNA/trawl,15
Xiphister atropurpureus/mucosus,only eDNA,2
Zoarcidae,only trawl,1
