sp
Allosmerus elongatus
Alosa sapidissima
Ammodytes hexapterus
Anoplarchus insignis/purpurescens
Anoplopoma fimbria
Artedius harringtoni
Artedius lateralis
Ascelichthys rhodorus
Atheresthes stomias
Beringraja binoculata
Citharichthys sordidus
Citharichthys stigmaeus
Clinocottus acuticeps
Clupea pallasii
Cryptacanthodes giganteus
Cymatogaster aggregata
Diaphus theta
Embiotoca lateralis
Engraulis mordax
Entosphenus tridentatus
Eopsetta jordani
Gadus chalcogrammus
Gadus macrocephalus
Glyptocephalus zachirus
Gobiesox maeandricus
Hexagrammos decagrammus
Hippoglossoides elassodon
Hippoglossus stenolepis
Hydrolagus colliei
Icelinus borealis
Lepidopsetta bilineata/polyxystra
Leptoclinus maculatus
Liparidae1
Liparis dennyi/fucensis
Liparis fucensis
Liparis mucosus
Lycodapus mandibularis
Lyopsetta exilis
Mallotus villosus
Merluccius productus
Microstomus pacificus
Odontopyxis trispinosa
Oligocottus maculosus/snyderi
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus tshawytscha
Ophiodon elongatus
Parophrys vetulus
Pholis laeta
Pholis laeta/ornata
Phytichthys chirus
Pleuronectidae1
Reinhardtius hippoglossoides
Salvelinus malma
Sebastes
Sebastolobus macrochir
Spirinchus starksi
Squalus suckleyi
Thaleichthys pacificus
Xiphister atropurpureus/mucosus
Zoarcidae
