LCT,environment,max_length_cm,common_length_cm,in_range,habitat
Allosmerus elongatus,demersal,22.9,NA,y,demersal
Alosa sapidissima,pelagic_neritic,76,50,n,pelagic
Ammodytes hexapterus,benthopelagic,30,17,y,benthopelagic
Ammodytes personatus,demersal,15,10,y,demersal
Anoplarchus insignis,demersal,12,NA,y,demersal
Anoplarchus insignis/purpurescens,demersal,11,NA,y,demersal
Anoplarchus purpurescens,demersal,10,NA,y,demersal
Anoplopoma fimbria,bathydemersal,120,80,y,bathydemersal
Apodichthys flavidus,demersal,46,NA,y,demersal
Artedius fenestralis,demersal,14,NA,y,demersal
Artedius harringtoni,demersal,10,NA,y,demersal
Artedius lateralis,demersal,14,NA,y,demersal
Artedius lateralis,demersal,14,NA,y,demersal
Ascelichthys rhodorus,demersal,15,NA,y,demersal
Ascelichthys rhodorus,demersal,15,NA,y,demersal
Atheresthes evermanni,demersal,100,54,n,demersal
Atheresthes stomias,demersal,84,50,y,demersal
Aulorhynchus flavidus,benthopelagic,18,NA,y,benthopelagic
Beringraja binoculata,demersal,244,180,y,demersal
Brachyistius frenatus,demersal,22,NA,y,demersal
Citharichthys sordidus,demersal,41,NA,y,demersal
Citharichthys stigmaeus,demersal,17,NA,y,demersal
Clinocottus acuticeps,demersal,6.4,4.4,y,demersal
Clinocottus acuticeps,demersal,6.4,4.4,y,demersal
Clinocottus globiceps,demersal,19,NA,y,demersal
Clupea pallasii,pelagic_neritic,46,25,y,pelagic
Corphaenidoes sp,bathydemersal,104,46.9,y,bathydemersal
Cottus asper,demersal,30,7,y,demersal
Cottus cognatus,demersal,12.1,7.5,n,demersal
Cryptacanthodes giganteus,demersal,117,NA,y,demersal
Cymatogaster aggregata,demersal,20.3,11.5,y,demersal
Diaphus theta,bathypelagic,11.4,NA,y,bathypelagic
Embiotoca lateralis,demersal,38,NA,y,demersal
Embiotoca lateralis,demersal,38,NA,y,demersal
Engraulis mordax,pelagic_neritic,24.8,15,y,pelagic
Enophrys bison,demersal,37,NA,y,demersal
Entosphenus tridentatus,demersal,76,41,y,demersal
Eopsetta jordani,demersal,53,42.5,y,demersal
Gadus chalcogrammus,benthopelagic,91,NA,y,benthopelagic
Gadus macrocephalus,demersal,119,NA,y,demersal
Gadus/chalcogrammus,benthopelagic,91,NA,y,benthopelagic
Gasterosteus aculeatus,benthopelagic,11,5.1,y,benthopelagic
