LCT,environment,max_length_cm,common_length_cm,in_range,habitat,total_mean_length_cm
Allosmerus elongatus,demersal,22.9,NA,y,demersal,11.770833333333334
Alosa sapidissima,pelagic_neritic,76,50,n,pelagic,32.77013917525773
Ammodytes hexapterus,benthopelagic,30,17,y,benthopelagic,15.223741794310722
Ammodytes personatus,demersal,15,10,y,demersal,10
Anoplarchus insignis,demersal,12,NA,y,demersal,12
Anoplarchus insignis/purpurescens,demersal,11,NA,y,demersal,11
Anoplarchus purpurescens,demersal,10,NA,y,demersal,10
Anoplopoma fimbria,bathydemersal,120,80,y,bathydemersal,52.25811612710627
Apodichthys flavidus,demersal,46,NA,y,demersal,46
Artedius fenestralis,demersal,14,NA,y,demersal,14
Artedius harringtoni,demersal,10,NA,y,demersal,10
Artedius lateralis,demersal,14,NA,y,demersal,14
Artedius lateralis,demersal,14,NA,y,demersal,14
Ascelichthys rhodorus,demersal,15,NA,y,demersal,15
Ascelichthys rhodorus,demersal,15,NA,y,demersal,15
Atheresthes evermanni,demersal,100,54,n,demersal,54
Atheresthes stomias,demersal,84,50,y,demersal,50
Aulorhynchus flavidus,benthopelagic,18,NA,y,benthopelagic,18
Beringraja binoculata,demersal,244,180,y,demersal,88.27593103448275
Brachyistius frenatus,demersal,22,NA,y,demersal,22
Citharichthys sordidus,demersal,41,NA,y,demersal,22.857451966241694
Citharichthys stigmaeus,demersal,17,NA,y,demersal,17.428571428571427
Clinocottus acuticeps,demersal,6.4,4.4,y,demersal,4.4
Clinocottus acuticeps,demersal,6.4,4.4,y,demersal,4.4
Clinocottus globiceps,demersal,19,NA,y,demersal,19
Clupea pallasii,pelagic_neritic,46,25,y,pelagic,20.39700114909509
Corphaenidoes sp,bathydemersal,104,46.9,y,bathydemersal,46.9
Cottus asper,demersal,30,7,y,demersal,7
Cottus cognatus,demersal,12.1,7.5,n,demersal,7.5
Cryptacanthodes giganteus,demersal,117,NA,y,demersal,117
Cymatogaster aggregata,demersal,20.3,11.5,y,demersal,12.511931818181818
Diaphus theta,bathypelagic,11.4,NA,y,bathypelagic,11.4
Embiotoca lateralis,demersal,38,NA,y,demersal,38
Embiotoca lateralis,demersal,38,NA,y,demersal,38
Engraulis mordax,pelagic_neritic,24.8,15,y,pelagic,15
Enophrys bison,demersal,37,NA,y,demersal,14.296296296296296
Entosphenus tridentatus,demersal,76,41,y,demersal,41
Eopsetta jordani,demersal,53,42.5,y,demersal,37.696210321744765
Gadus chalcogrammus,benthopelagic,91,NA,y,benthopelagic,35.63792448256763
Gadus macrocephalus,demersal,119,NA,y,demersal,119
Gadus/chalcogrammus,benthopelagic,91,NA,y,benthopelagic,91
Gasterosteus aculeatus,benthopelagic,11,5.1,y,benthopelagic,5.1
Gibbonsia montereyensis,demersal,11,NA,y,demersal,11
