ASV,species
ASV88,Gadus chalcogrammus
ASV72,Hippoglossoides elassodon
ASV634,Oncorhynchus mykiss
ASV621,Sebastes
ASV605,Sebastes
ASV603,Gadus chalcogrammus
ASV601,Sebastes
ASV57,Gadus macrocephalus
ASV55,Sebastes
ASV546,Gadus chalcogrammus
ASV543,Clupea pallasii
ASV504,Gadus chalcogrammus
ASV467,Gadus chalcogrammus
ASV452,Gadus chalcogrammus
ASV451,Sebastes
ASV438,Gadus chalcogrammus
ASV415,Sebastes
ASV413,Gadus chalcogrammus
ASV405,Gadus chalcogrammus
ASV4,Gadus chalcogrammus
ASV387,Gadus chalcogrammus
ASV374,Gadus macrocephalus
ASV367,Gadus chalcogrammus
ASV347,Gadus chalcogrammus
ASV330,Gadus chalcogrammus
ASV33,Sebastes
ASV306,Gadus chalcogrammus
ASV298,Gadus chalcogrammus
ASV290,Gadus chalcogrammus
ASV282,Gadus chalcogrammus
ASV281,Gadus chalcogrammus
ASV280,Gadus chalcogrammus
ASV262,Hippoglossoides elassodon
ASV259,Gadus chalcogrammus
ASV252,Gadus chalcogrammus
ASV243,Gadus chalcogrammus
ASV237,Gadus macrocephalus
ASV230,Gadus chalcogrammus
ASV226,Gadus chalcogrammus
ASV206,Gadus chalcogrammus
ASV156,Gadus chalcogrammus
ASV140,Gadus chalcogrammus
ASV14,Sebastes
ASV137,Alosa sapidissima
ASV118,Gadus chalcogrammus
ASV106,Gadus chalcogrammus
ASV100,Gadus macrocephalus
