ASV,species
ASV100,Gadus macrocephalus
ASV106,Gadus chalcogrammus
ASV107,Sebastes
ASV118,Gadus chalcogrammus
ASV137,Alosa sapidissima
ASV14,Sebastes
ASV140,Gadus chalcogrammus
ASV142,Gadus chalcogrammus
ASV156,Gadus chalcogrammus
ASV157,Gadus chalcogrammus
ASV206,Gadus chalcogrammus
ASV226,Gadus chalcogrammus
ASV230,Gadus chalcogrammus
ASV233,Gadus chalcogrammus
ASV237,Gadus macrocephalus
ASV243,Gadus chalcogrammus
ASV252,Gadus chalcogrammus
ASV259,Gadus chalcogrammus
ASV260,Gadus chalcogrammus
ASV262,Hippoglossoides elassodon
ASV270,Gadus chalcogrammus
ASV280,Gadus chalcogrammus
ASV281,Gadus chalcogrammus
ASV282,Gadus chalcogrammus
ASV290,Gadus chalcogrammus
ASV292,Gadus chalcogrammus
ASV298,Gadus chalcogrammus
ASV303,Sebastes
ASV306,Gadus chalcogrammus
ASV33,Sebastes
ASV330,Gadus chalcogrammus
ASV347,Gadus chalcogrammus
ASV367,Gadus chalcogrammus
ASV374,Gadus macrocephalus
ASV387,Gadus chalcogrammus
ASV390,Gadus chalcogrammus
ASV395,Gadus chalcogrammus
ASV4,Gadus chalcogrammus
ASV405,Gadus chalcogrammus
ASV413,Gadus chalcogrammus
ASV415,Sebastes
ASV422,Gadus chalcogrammus
ASV432,Hippoglossoides elassodon
ASV438,Gadus chalcogrammus
ASV451,Sebastes
ASV452,Gadus chalcogrammus
ASV456,Gadus chalcogrammus
ASV458,Hippoglossoides elassodon
ASV467,Gadus chalcogrammus
ASV500,Gadus chalcogrammus
ASV504,Gadus chalcogrammus
ASV543,Clupea pallasii
ASV546,Gadus chalcogrammus
ASV55,Sebastes
ASV57,Gadus macrocephalus
ASV585,Sebastes
ASV601,Sebastes
ASV603,Gadus chalcogrammus
ASV605,Sebastes
ASV621,Sebastes
ASV634,Oncorhynchus mykiss
ASV72,Hippoglossoides elassodon
ASV88,Gadus chalcogrammus
