kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,Oncorhynchus nerka
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,Gadus macrocephalus
Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,NA,NA,Thaleichthys pacificus
Animalia,Chordata,Osmeriformes,Osmeridae,Spirinchus,Spirinchus lanceolatus,1,44,1068,8480,2410894,2410895,NA,NA,Spirinchus lanceolatus
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,Clupea harengus
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,Gadus chalcogrammus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,NA,NA,Sebastes
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,Glyptocephalus stelleri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,Glyptocephalus zachirus
Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,1,44,1068,8480,2410910,5214420,NA,NA,Mallotus villosus
Animalia,Chordata,Perciformes,Bathymasteridae,Ronquilus,Ronquilus jordani,1,44,587,8507,2394457,2394458,NA,NA,Ronquilus jordani
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,Oncorhynchus kisutch
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,44,590,8626,2336520,2336521,NA,NA,Ophiodon elongatus
Animalia,Chordata,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,1,44,590,8621,2334020,2334021,NA,NA,Ascelichthys rhodorus
Animalia,Chordata,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,1,44,1306,4217,2406168,2406199,NA,NA,Diaphus theta
Animalia,Chordata,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,1,44,587,8598,2394820,2394821,NA,NA,Phytichthys chirus
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,Alosa sapidissima
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,Ammodytes personatus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,Ammodytes japonicus
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,Squalus acanthias
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus suckleyi,1,44,883,5872,2420869,5216380,Elasmobranchii,121,Squalus suckleyi
Animalia,Chordata,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,1,44,884,5877,7554168,7913005,Elasmobranchii,121,Raja binoculata
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,Oncorhynchus tshawytscha
