original_sample_name,query,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,LCT,species_read_raw,species_read_index,species_pa
E001,ASV1,NA,12050,NA,NA,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV10,NA,12050,NA,NA,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus nerka,0,0,0
E001,ASV11,NA,12050,NA,NA,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Glyptocephalus,0,0,0,Glyptocephalus zachirus,0,0,0
E001,ASV12,NA,12050,NA,NA,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus kisutch,5072,1,1
E001,ASV122,NA,12050,NA,NA,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV13,NA,12050,NA,NA,Salmoniformes,5072,0.35849108399421664,1,Salmonidae,5072,0.35849108399421664,1,Oncorhynchus,5072,0.35849108399421664,1,Oncorhynchus nerka,0,0,0
E001,ASV135,NA,12050,NA,NA,Perciformes,0,0,0,Stichaeidae,0,0,0,Phytichthys,0,0,0,Phytichthys chirus,0,0,0
E001,ASV137,NA,12050,NA,NA,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Alosa,0,0,0,Alosa sapidissima,0,0,0
E001,ASV14,NA,12050,NA,NA,Scorpaeniformes,0,0,0,Sebastidae,0,0,0,Sebastes,0,0,0,NA,0,NA,NA
E001,ASV155,Elasmobranchii,2356,1,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV163,NA,12050,NA,NA,Osmeriformes,6722,0.4666111342496182,1,Osmeridae,6722,0.4666111342496182,1,Thaleichthys,6722,0.4666111342496182,1,Thaleichthys pacificus,6722,0.4666111342496182,1
E001,ASV177,Elasmobranchii,2356,1,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
E001,ASV191,NA,12050,NA,NA,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,Clupea pallasii,256,0.01777037345550465,1
E001,ASV2,Elasmobranchii,2356,1,1,Squaliformes,2356,0.293535258413081,1,Squalidae,2356,0.293535258413081,1,Squalus,2356,0.293535258413081,1,Squalus suckleyi,2356,0.293535258413081,1
