ASV,species
ASV95,Gadus macrocephalus
ASV88,Gadus chalcogrammus
ASV80,Gadus chalcogrammus
ASV642,Gadus chalcogrammus
ASV640,Gadus chalcogrammus
ASV628,Sebastes
ASV627,Gadus chalcogrammus
ASV623,Gadus chalcogrammus
ASV603,Gadus chalcogrammus
ASV601,Xiphister atropurpureus_mucosus
ASV600,Gadus chalcogrammus
ASV6,Sebastes
ASV594,Gadus chalcogrammus
ASV592,Gadus chalcogrammus
ASV591,Gadus chalcogrammus
ASV59,Clupea pallassi
ASV587,Gadus chalcogrammus
ASV573,Gadus chalcogrammus
ASV572,Sebastes
ASV571,Gadus chalcogrammus
ASV561,Gadus chalcogrammus
ASV560,Gadus macrocephalus
ASV555,Gadus chalcogrammus
ASV538,Sebastes
ASV537,Gadus chalcogrammus
ASV530,Gadus chalcogrammus
ASV528,Sebastes
ASV523,Gadus chalcogrammus
ASV522,Gadus chalcogrammus
ASV520,Gadus chalcogrammus
ASV511,Gadus chalcogrammus
ASV508,Gadus macrocephalus
ASV507,Gadus chalcogrammus
ASV505,Sebastes
ASV499,Gadus macrocephalus
ASV498,Gadus macrocephalus
ASV493,Gadus chalcogrammus
ASV484,Gadus chalcogrammus
ASV482,Gadus chalcogrammus
ASV48,Gadus chalcogrammus
ASV468,Gadus chalcogrammus
ASV456,Gadus chalcogrammus
ASV446,Sebastes
ASV44,Gadus macrocephalus
ASV437,Gadus chalcogrammus
ASV435,Gadus macrocephalus
ASV428,Gadus chalcogrammus
ASV427,Gadus chalcogrammus
ASV426,Gadus chalcogrammus
ASV424,Clupea pallassi
ASV414,Sebastes
ASV407,Gadus chalcogrammus
ASV406,Sebastes
ASV404,Gadus macrocephalus
ASV392,Sebastes
ASV381,Gadus chalcogrammus
ASV379,Gadus chalcogrammus
ASV377,Gadus chalcogrammus
ASV375,Gadus chalcogrammus
ASV354,Gadus chalcogrammus
ASV339,Gadus chalcogrammus
ASV338,Gadus chalcogrammus
ASV337,Gadus chalcogrammus
ASV321,Gadus chalcogrammus
ASV31,Gadus chalcogrammus
ASV303,Gadus chalcogrammus
ASV295,Gadus chalcogrammus
ASV294,Gadus chalcogrammus
ASV284,Gadus chalcogrammus
ASV281,Gadus macrocephalus
ASV276,Gadus macrocephalus
ASV275,Gadus chalcogrammus
ASV272,Gadus macrocephalus
ASV270,Gadus chalcogrammus
ASV252,Sebastes
ASV237,Gadus chalcogrammus
ASV236,Gadus chalcogrammus
ASV232,Gadus chalcogrammus
ASV225,Gadus chalcogrammus
ASV223,Gadus chalcogrammus
ASV221,Gadus chalcogrammus
ASV220,Sebastes
ASV217,Gadus chalcogrammus
ASV215,Gadus chalcogrammus
ASV207,Alosa sapidissima
ASV202,Gadus chalcogrammus
ASV200,Gadus chalcogrammus
ASV2,Gadus chalcogrammus
ASV192,Gadus chalcogrammus
ASV183,Gadus macrocephalus
ASV177,Gadus chalcogrammus
ASV173,Gadus chalcogrammus
ASV164,Gadus chalcogrammus
ASV137,Gadus chalcogrammus
ASV134,Sebastes
ASV132,Gadus chalcogrammus
ASV121,Gadus macrocephalus
ASV102,Gadus chalcogrammus
ASV10,Gadus macrocephalus
ASV218,Sebastes
