kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,Gadus macrocephalus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,44,588,8611,2408960,2409051,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,1,44,588,8611,2409369,2409370,NA,NA,Parophrys vetulus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,Isopsetta isolepis
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,Oncorhynchus nerka
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,Gadus chalcogrammus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,1,44,590,8621,2333943,2333949,NA,NA,Hemilepidotus hemilepidotus
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,Merluccius productus
Animalia,Chordata,Osmeriformes,Bathylagidae,Bathylagus,Bathylagus pacificus,1,44,1068,4223,2410966,2410970,NA,NA,Bathylagus pacificus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,Oncorhynchus keta
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,Lycodapus microchir
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,Clupea harengus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,Oncorhynchus tshawytscha
