"","ASV1","ASV2","ASV3","ASV4","ASV6","ASV7","ASV8","ASV9","ASV12","ASV13","ASV14","ASV15","ASV27","ASV28","ASV29","ASV31","ASV32","ASV34","ASV37","ASV45","ASV47","ASV55","ASV57","ASV64","ASV83","ASV88","ASV96","ASV98","ASV118","ASV120","ASV142","ASV173","ASV204","ASV207","ASV275","ASV283","ASV297","ASV330","ASV540","ASV564"
"0_SB_15",20367,51768,22265,112265,33867,0,12959,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0_SB_16",63430,74972,6552,75208,17113,142,23683,523,0,0,35584,11525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100_JS_5",42392,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100_MI_3",29379,132268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115_MI_4",43234,0,37739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120_JF_9",62681,20379,27738,0,0,0,0,0,1349,13263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120_JS_2",44838,133907,29153,0,0,0,11756,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125_JS_6",0,68866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140_JS_7",302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200_JF_11",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25_JF_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,0
"50_JS_1",0,75840,72521,0,76302,0,2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5_JF_TS1",96,0,99269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80_JF_10",253,0,82823,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80_JF_8",168,33862,104775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80_JF_TS1",1991,0,100016,0,0,0,0,0,15564,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80_SB_14",112569,156,103245,0,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85_JF_TS2",141071,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
